Country,Year,Month,Poverty_Rate,Income_Inequality,Unemployment_Rate,Access_to_Resources,Education_Index,Political_Stability_Index,Corruption_Perception_Index,Voter_Participation_Rate,Ethnic_Diversity_Index,Religious_Diversity_Index,Population_Density,Migration_Rate,Urbanization_Rate,Climate_Trend_Index,Resource_Availability_Index,Environmental_Degradation,Past_Conflict_Count,Peacebuilding_Success_Rate
Algeria,2015,7,27.4,29.9,6.6,48.0,0.635,-0.81,35.6,77.0,0.867,0.573,206.7,-0.4,65.8,0.0,60.2,48.3,1,70.4
Algeria,2015,8,24.7,31.8,9.4,47.9,0.647,-0.44,38.3,72.5,0.867,0.587,204.8,-0.4,65.6,-0.1,61.9,47.8,1,68.7
Algeria,2015,9,28.2,31.9,4.8,48.1,0.626,-0.66,41.0,69.9,0.87,0.59,209.6,0.1,66.7,0.1,62.5,48.2,2,69.6
Algeria,2015,10,26.7,32.0,5.8,48.7,0.636,-0.73,41.4,76.2,0.859,0.583,202.8,-0.4,66.9,-0.0,62.1,49.1,2,71.2
Algeria,2015,11,25.5,32.7,6.1,47.5,0.653,-0.51,40.4,73.3,0.878,0.581,204.4,-0.3,66.4,0.1,61.4,48.2,1,66.0
Algeria,2015,12,29.4,30.8,5.6,46.7,0.616,-0.68,40.7,79.2,0.881,0.584,206.0,-0.5,67.3,0.0,62.0,49.5,2,66.7
Algeria,2016,1,24.2,30.6,5.8,48.1,0.649,-0.59,38.3,75.0,0.881,0.577,206.3,-0.4,66.8,0.1,63.0,46.8,1,66.0
Algeria,2016,2,28.2,31.4,6.8,47.6,0.643,-0.64,40.7,75.7,0.866,0.582,207.2,-0.5,67.9,0.1,61.1,48.6,2,69.1
Algeria,2016,3,22.5,31.7,4.1,47.8,0.625,-0.48,40.8,74.8,0.886,0.588,205.5,-0.3,66.9,-0.0,61.7,47.2,2,70.5
Algeria,2016,4,26.6,31.4,6.4,47.2,0.672,-0.51,43.8,74.1,0.868,0.588,207.0,-0.3,66.9,-0.1,61.4,50.0,1,68.8
Algeria,2016,5,21.8,31.1,5.6,47.3,0.664,-0.73,37.2,70.8,0.87,0.586,205.0,-0.4,66.6,-0.0,61.0,48.8,1,70.1
Algeria,2016,6,29.6,33.0,7.6,47.9,0.635,-0.59,39.2,78.9,0.87,0.593,210.0,-0.2,66.9,0.0,61.7,47.5,1,72.0
Algeria,2016,7,24.0,33.8,4.9,47.4,0.615,-0.45,41.5,80.0,0.906,0.581,206.4,-0.7,66.6,-0.1,60.6,48.9,1,68.2
Algeria,2016,8,28.9,31.7,6.3,48.6,0.649,-0.61,40.1,70.8,0.876,0.575,208.2,-0.3,66.5,0.0,59.5,46.7,1,71.7
Algeria,2016,9,28.1,32.0,3.5,50.1,0.62,-0.67,41.3,72.7,0.877,0.593,205.2,-0.5,66.3,0.0,59.4,50.2,2,69.1
Algeria,2016,10,26.1,30.9,8.2,47.7,0.624,-0.54,38.5,78.2,0.87,0.584,205.6,-0.4,66.7,-0.0,61.8,49.5,1,71.4
Algeria,2016,11,27.6,32.1,5.5,47.2,0.614,-0.5,43.1,72.7,0.887,0.578,205.9,-0.5,66.5,-0.0,61.2,48.9,2,69.8
Algeria,2016,12,26.9,31.1,6.2,47.1,0.628,-0.54,40.2,74.9,0.877,0.601,205.2,-0.1,66.6,-0.1,60.3,48.8,1,67.7
Algeria,2017,1,26.4,32.1,6.7,48.9,0.655,-0.58,35.7,78.9,0.883,0.588,208.9,-0.2,66.9,0.0,60.9,46.4,0,72.4
Algeria,2017,2,27.2,30.1,5.7,48.1,0.664,-0.68,41.3,75.0,0.881,0.591,206.1,-0.3,66.6,0.0,60.9,50.3,2,65.5
Algeria,2017,3,29.1,31.3,4.5,47.8,0.663,-0.56,41.0,75.3,0.876,0.606,208.5,-0.3,66.6,0.1,60.8,48.5,0,71.6
Algeria,2017,4,30.4,32.6,8.5,47.3,0.679,-0.54,44.5,72.9,0.876,0.605,206.8,-0.3,67.3,0.1,60.9,47.6,2,69.0
Algeria,2017,5,25.8,31.5,5.8,46.9,0.652,-0.51,40.5,76.9,0.87,0.594,205.8,0.1,67.5,0.0,61.3,49.7,1,66.5
Algeria,2017,6,27.0,32.9,5.9,48.1,0.647,-0.51,42.5,72.5,0.9,0.579,209.1,-0.3,67.6,-0.1,61.3,48.4,2,70.7
Algeria,2017,7,26.7,32.1,8.0,47.9,0.618,-0.85,39.7,76.9,0.896,0.578,210.2,-0.1,66.3,0.1,59.9,48.7,1,68.5
Algeria,2017,8,26.4,30.3,6.0,47.1,0.659,-0.59,37.0,74.2,0.876,0.583,210.3,-0.4,66.5,0.1,61.6,46.9,1,72.8
Algeria,2017,9,24.9,31.3,6.4,48.1,0.633,-0.67,42.1,72.3,0.887,0.593,208.6,-0.2,67.0,-0.0,61.1,48.5,1,71.3
Algeria,2017,10,28.8,30.8,7.0,48.5,0.65,-0.51,38.5,73.6,0.904,0.584,206.3,-0.2,66.7,0.0,61.2,49.8,1,73.1
Algeria,2017,11,28.5,31.9,7.4,46.3,0.656,-0.62,42.2,75.5,0.871,0.591,204.9,-0.3,66.2,0.0,62.3,47.2,2,70.7
Algeria,2017,12,25.2,31.8,7.5,46.9,0.645,-0.79,41.2,65.7,0.886,0.578,205.8,-0.2,66.7,-0.1,60.9,48.9,1,68.6
Algeria,2018,1,24.7,31.8,3.4,48.1,0.677,-0.52,41.7,80.0,0.861,0.59,209.5,-0.0,67.5,0.1,60.7,50.3,1,70.3
Algeria,2018,2,24.5,31.6,7.8,48.1,0.663,-0.58,37.7,75.2,0.89,0.608,208.6,-0.4,67.4,0.0,60.8,48.3,2,70.2
Algeria,2018,3,28.4,32.2,7.2,46.5,0.645,-0.49,38.5,77.2,0.864,0.593,210.1,-0.2,66.9,0.1,60.9,49.1,2,74.4
Algeria,2018,4,27.1,32.6,5.6,45.2,0.656,-0.77,40.4,73.1,0.899,0.588,206.4,-0.2,66.7,0.0,60.3,49.7,1,69.6
Algeria,2018,5,26.9,30.9,6.7,48.0,0.672,-0.57,41.6,70.7,0.89,0.588,208.3,-0.6,67.6,0.1,59.8,49.3,2,72.0
Algeria,2018,6,24.0,31.9,4.0,48.2,0.658,-0.7,40.5,71.7,0.868,0.605,209.4,-0.0,66.2,0.0,60.3,50.4,3,70.0
Algeria,2018,7,26.9,31.7,5.7,47.8,0.646,-0.61,38.6,73.5,0.866,0.581,209.7,-0.3,66.8,0.0,60.9,47.2,1,65.7
Algeria,2018,8,25.7,32.6,6.7,48.5,0.632,-0.5,39.2,71.7,0.884,0.573,208.0,-0.3,66.8,0.0,60.0,49.8,2,69.3
Algeria,2018,9,27.3,30.3,7.8,48.0,0.649,-0.46,41.8,78.1,0.887,0.579,209.9,-0.4,67.9,-0.0,61.0,47.2,2,68.6
Algeria,2018,10,24.8,32.2,6.8,46.4,0.647,-0.69,42.0,72.8,0.884,0.583,213.0,-0.3,67.4,-0.1,61.1,49.9,1,72.6
Algeria,2018,11,27.0,34.2,4.6,47.6,0.637,-0.62,43.6,72.1,0.889,0.572,212.0,-0.5,67.0,0.0,61.1,48.5,1,71.7
Algeria,2018,12,26.4,32.4,5.1,47.8,0.67,-0.63,43.5,71.3,0.884,0.574,206.8,-0.4,66.5,-0.1,61.4,49.1,2,69.9
Algeria,2019,1,29.3,33.0,6.5,48.4,0.628,-0.48,41.3,73.6,0.89,0.586,213.3,-0.1,67.1,0.1,61.6,48.2,2,69.8
Algeria,2019,2,28.7,33.5,7.4,48.1,0.646,-0.6,38.6,71.0,0.878,0.608,211.5,-0.3,67.1,0.1,59.0,49.4,1,69.8
Algeria,2019,3,24.2,31.1,6.1,48.7,0.648,-0.71,41.1,72.1,0.875,0.609,211.4,-0.1,67.5,0.0,61.1,49.6,1,69.4
Algeria,2019,4,25.6,32.9,4.4,47.6,0.647,-0.59,39.6,74.9,0.876,0.596,215.1,-0.3,67.0,0.1,62.0,48.9,2,70.6
Algeria,2019,5,26.4,30.5,6.2,48.6,0.634,-0.65,41.1,75.5,0.89,0.59,210.6,-0.3,67.9,0.0,60.9,49.3,1,72.1
Algeria,2019,6,22.5,33.0,7.8,48.4,0.637,-0.59,38.8,73.2,0.875,0.584,209.7,-0.3,67.1,-0.0,61.5,49.2,2,70.5
Algeria,2019,7,27.0,31.7,5.8,48.4,0.661,-0.7,40.3,78.3,0.878,0.604,213.3,-0.5,66.9,-0.0,61.4,46.9,1,67.0
Algeria,2019,8,24.6,32.6,5.1,48.7,0.643,-0.64,42.1,70.3,0.859,0.584,212.7,-0.4,68.4,0.1,59.6,48.0,2,68.9
Algeria,2019,9,25.8,32.4,7.1,48.6,0.634,-0.63,40.7,72.3,0.888,0.595,211.4,0.2,67.3,-0.0,62.7,48.6,3,71.8
Algeria,2019,10,26.0,33.7,4.3,47.0,0.638,-0.48,41.2,66.6,0.898,0.585,208.0,-0.6,67.7,0.0,59.4,48.2,2,70.3
Algeria,2019,11,22.7,32.1,5.9,47.0,0.641,-0.56,39.3,78.5,0.873,0.569,212.4,-0.4,67.3,0.1,60.8,49.9,2,70.2
Algeria,2019,12,26.0,31.8,1.7,49.1,0.649,-0.67,41.7,72.4,0.883,0.585,213.9,-0.3,67.3,0.0,61.4,49.2,3,69.8
Algeria,2020,1,25.7,33.1,8.7,49.7,0.639,-0.56,38.7,76.1,0.887,0.578,215.1,-0.1,67.7,0.1,60.8,50.1,1,67.8
Algeria,2020,2,27.0,30.1,5.9,48.3,0.614,-0.65,35.4,76.4,0.899,0.581,214.0,-0.6,67.1,0.1,61.3,49.6,1,68.9
Algeria,2020,3,21.5,30.5,6.2,47.1,0.648,-0.59,38.8,74.9,0.889,0.59,214.7,-0.7,66.9,0.0,61.2,50.2,2,72.8
Algeria,2020,4,25.8,31.7,9.8,51.1,0.667,-0.7,44.7,74.7,0.897,0.594,211.7,-0.4,67.8,0.0,61.5,49.6,1,68.3
Algeria,2020,5,25.2,31.0,4.5,49.8,0.629,-0.49,40.5,77.9,0.875,0.58,209.3,-0.4,68.0,-0.0,60.7,48.7,2,73.5
Algeria,2020,6,23.4,31.1,5.7,48.4,0.668,-0.6,43.4,77.4,0.879,0.591,211.5,-0.5,67.4,0.0,60.8,48.8,2,72.7
Algeria,2020,7,23.7,32.5,1.6,47.7,0.667,-0.59,43.5,71.9,0.873,0.592,213.5,-0.0,67.5,0.1,59.8,49.3,1,70.3
Algeria,2020,8,24.9,31.3,4.7,47.5,0.653,-0.47,40.5,78.2,0.879,0.575,214.3,-0.4,68.2,0.0,61.0,50.0,1,69.3
Algeria,2020,9,25.0,30.4,4.8,49.3,0.672,-0.72,41.9,76.5,0.878,0.569,212.1,-0.4,67.4,0.1,61.9,50.3,1,69.4
Algeria,2020,10,24.2,32.4,5.5,48.9,0.62,-0.64,44.7,76.3,0.88,0.591,213.0,-0.5,67.3,0.0,61.2,50.9,1,69.3
Algeria,2020,11,24.0,32.6,9.0,48.8,0.678,-0.39,37.7,72.6,0.882,0.586,210.6,-0.2,66.9,-0.0,61.2,48.1,1,69.1
Algeria,2020,12,26.7,32.1,6.4,50.0,0.68,-0.61,40.7,70.9,0.891,0.587,211.8,-0.6,68.2,0.0,60.3,50.0,1,69.6
Algeria,2021,1,22.9,32.7,6.9,47.3,0.65,-0.64,39.2,67.5,0.878,0.578,216.0,-0.6,67.2,0.0,59.2,48.9,2,69.9
Algeria,2021,2,30.6,30.8,5.4,48.3,0.667,-0.57,42.5,78.7,0.888,0.564,213.5,-0.4,67.0,-0.0,61.9,48.9,1,69.8
Algeria,2021,3,26.0,34.2,5.5,47.2,0.699,-0.62,40.7,71.9,0.87,0.572,217.3,-0.2,67.3,0.0,59.1,47.7,2,72.2
Algeria,2021,4,23.6,33.0,8.8,48.1,0.697,-0.33,42.4,73.1,0.881,0.603,214.3,-0.4,67.6,0.0,61.6,51.6,1,69.3
Algeria,2021,5,26.0,33.2,7.2,49.6,0.705,-0.75,41.7,74.7,0.879,0.581,214.2,-0.2,67.2,0.1,60.9,51.2,1,70.2
Algeria,2021,6,25.2,31.7,4.7,48.9,0.651,-0.88,38.1,76.8,0.885,0.576,216.0,-0.5,67.0,0.1,62.2,50.3,1,67.1
Algeria,2021,7,24.8,31.8,5.7,49.1,0.636,-0.64,40.0,70.7,0.88,0.574,214.3,-0.5,67.4,0.1,61.3,51.0,1,68.8
Algeria,2021,8,25.4,32.1,5.4,50.8,0.641,-0.56,38.3,76.0,0.88,0.596,212.5,-0.2,67.0,0.1,59.7,49.8,1,73.4
Algeria,2021,9,20.3,32.6,3.3,46.0,0.651,-0.64,39.3,73.9,0.883,0.587,212.9,-0.3,67.6,0.1,60.4,47.9,1,71.9
Algeria,2021,10,28.5,32.1,6.3,49.2,0.663,-0.64,38.3,72.7,0.875,0.59,213.8,-0.6,66.6,-0.0,61.0,50.4,1,69.2
Algeria,2021,11,24.2,33.4,4.6,47.3,0.63,-0.72,39.4,71.4,0.868,0.602,216.5,-0.3,67.2,0.1,62.1,51.4,2,69.3
Algeria,2021,12,25.6,31.2,3.6,47.7,0.612,-0.6,39.6,68.5,0.878,0.59,213.7,-0.0,66.7,0.1,61.1,51.0,1,65.5
Algeria,2022,1,26.5,31.5,4.0,50.1,0.655,-0.57,40.4,73.1,0.884,0.604,215.4,-0.2,67.3,0.1,60.2,49.1,2,70.7
Algeria,2022,2,27.9,32.6,3.6,46.6,0.655,-0.56,45.6,76.3,0.863,0.59,215.1,-0.0,67.8,0.1,60.5,49.8,1,68.3
Algeria,2022,3,21.8,31.7,7.9,49.9,0.639,-0.46,42.7,75.9,0.879,0.584,215.5,-0.1,67.6,0.1,60.2,50.8,1,66.8
Algeria,2022,4,22.9,32.2,4.4,49.8,0.662,-0.66,37.7,76.8,0.87,0.602,214.9,-0.1,67.6,0.2,60.4,50.8,1,71.7
Algeria,2022,5,23.1,32.6,5.7,50.2,0.669,-0.58,39.6,72.4,0.885,0.572,213.7,-0.5,68.0,0.1,59.8,49.9,2,67.9
Algeria,2022,6,27.0,31.1,5.3,48.0,0.677,-0.57,39.0,77.1,0.881,0.576,216.3,-0.2,68.3,0.0,60.4,50.2,1,70.8
Algeria,2022,7,23.1,32.2,7.3,48.2,0.675,-0.5,45.5,74.2,0.871,0.579,214.7,-0.4,67.1,0.0,62.0,50.1,2,70.7
Algeria,2022,8,23.9,32.9,4.7,49.2,0.668,-0.56,40.9,75.8,0.883,0.588,216.4,-0.6,69.1,0.1,61.3,50.2,2,68.9
Algeria,2022,9,26.9,31.1,7.2,47.5,0.652,-0.53,42.0,73.9,0.875,0.589,220.4,-0.2,68.2,0.0,60.9,49.6,2,70.4
Algeria,2022,10,26.9,30.6,4.8,48.6,0.658,-0.59,38.2,77.4,0.864,0.589,218.0,-0.5,67.2,0.0,60.3,51.0,2,70.2
Algeria,2022,11,25.6,32.4,7.1,48.7,0.658,-0.7,41.8,76.9,0.883,0.596,213.3,-0.2,66.9,-0.0,60.5,51.0,2,71.4
Algeria,2022,12,21.1,32.4,4.0,48.3,0.651,-0.56,41.6,74.6,0.867,0.568,217.0,-0.4,69.0,-0.0,61.6,49.8,1,68.9
Algeria,2023,1,26.4,31.2,7.7,48.1,0.691,-0.54,41.9,72.5,0.886,0.588,219.2,-0.1,66.7,-0.0,60.3,50.7,1,70.1
Algeria,2023,2,23.0,33.0,7.9,48.4,0.708,-0.68,39.3,78.5,0.877,0.595,216.5,-0.4,67.9,0.0,60.2,49.4,2,70.7
Algeria,2023,3,28.7,30.4,4.5,48.7,0.648,-0.75,39.7,70.9,0.882,0.581,217.7,-0.2,67.0,0.0,60.2,50.7,2,69.2
Algeria,2023,4,24.2,31.9,4.6,49.3,0.684,-0.66,41.7,78.6,0.887,0.588,219.5,-0.6,67.1,0.1,58.2,48.5,0,70.2
Algeria,2023,5,23.9,32.8,7.7,50.0,0.676,-0.53,39.1,72.5,0.873,0.575,217.7,-0.4,68.6,0.1,60.5,48.3,2,69.6
Algeria,2023,6,25.3,31.5,3.5,48.4,0.636,-0.5,39.9,71.2,0.888,0.591,217.0,-0.4,68.0,0.1,60.6,49.8,1,72.5
Algeria,2023,7,23.4,32.7,5.0,49.2,0.673,-0.64,38.7,72.6,0.892,0.587,217.2,-0.3,67.4,-0.0,59.9,50.0,2,71.1
Algeria,2023,8,24.9,30.4,6.7,48.3,0.662,-0.58,38.5,79.4,0.889,0.61,216.1,-0.1,68.4,0.2,61.7,50.2,3,70.7
Algeria,2023,9,26.1,30.1,6.6,48.7,0.657,-0.51,43.2,70.9,0.874,0.582,216.1,-0.5,68.5,0.0,60.0,50.2,1,69.1
